Pic ID,Date,Bank Name,Zipcode,State,Amount
456,21-12-2021,,43213-2805,OH,6.21
456,21-12-2021,,43213-2866,OH,4.93
456,21-12-2021,,43213-2865,OH,36
456,21-12-2021,,,,139.677
457,21-12-2021,pnc bank,43211-2537,OH,0
458,21-12-2021,pnc bank,43812-0486,OH,200
459,21-12-2021,pnc bank,43211-3719,OH,91.81
460,21-12-2021,huntington,43224,OH,300
460,21-12-2021,huntington,43054,OH,200
460,21-12-2021,huntington,43205,OH,
461,21-12-2021,huntington,43224,OH,90
461,21-12-2021,huntington,936,PR,
461,21-12-2021,huntington,43216,OH,
462,21-12-2021,chase,43224,OH,
463,21-12-2021,huntington,43230,OH,56
464,21-12-2021,,43004-8094,OH,12.72
464,21-12-2021,,,,117.75
465,21-12-2021,huntington,43230-6266,OH,6.88
465,21-12-2021,huntington,,,6
466,21-12-2021,huntington,,,54.83
467,21-12-2021,huntington,43230,OH,60
467,21-12-2021,huntington,,,388.28
467,21-12-2021,huntington,,,16
468,21-12-2021,fifth third bank,43230,OH,33.1
468,21-12-2021,fifth third bank,,,12.18.2021
468,21-12-2021,fifth third bank,,,12.18.202
469,21-12-2021,,43229,OH,12.17.21
470,21-12-2021,,43004,OH,165.45
471,21-12-2021,,43215,OH,7.19
471,21-12-2021,,43004-8531,OH,19.93
472,21-12-2021,chase,43016-9180,OH,864.99
472,21-12-2021,discover,,,"3,943.44"
472,21-12-2021,,,,100
473,21-12-2021,chase,43085-2896,OH,627
473,21-12-2021,chase,,,240.83
473,21-12-2021,chase,,,177.46
476,22-12-2021,chase,43004,OH,59.72
476,22-12-2021,chase,,,37.8
477,22-12-2021,chase,43229,OH,४.०0
477,22-12-2021,chase,,,28.33
478,22-12-2021,chase,43230,OH,61
479,22-12-2021,chase,43224,OH,331.36
481,22-12-2021,huntington,43227-3307,OH,
482,22-12-2021,,43230,OH,56
484,22-12-2021,huntington,43224,OH,634.54
484,22-12-2021,united states treasury,,,410.48
484,22-12-2021,,,,4
484,22-12-2021,,,,217.1
484,22-12-2021,,,,"1,151.25"
485,22-12-2021,,43211,OH,675
485,22-12-2021,,43223,OH,"3,065.13"
485,22-12-2021,,15250-7496,PA,"2,403.32"
486,22-12-2021,,43016,OH,275
523,28-12-2021,usaa,22192,VA,
523,28-12-2021,federal,,,
524,28-12-2021,bank of america,22039-2726,VA,600
524,28-12-2021,bank of america,,,160
525,28-12-2021,,22038,VA,5
525,28-12-2021,,22192,VA,
526,28-12-2021,wells fargo,22192-2443,VA,
527,28-12-2021,citi,21784,MD,250
527,28-12-2021,citi,,,"1,497.00"
528,28-12-2021,,19022,PA,578.84
528,28-12-2021,,19018,PA,
529,28-12-2021,,19026,PA,"19,758.14"
530,28-12-2021,capital one,70112,LA,500
530,28-12-2021,capital one,19026,PA,
532,28-12-2021,citi,19026-1617,PA,59.37
533,28-12-2021,,19801,DE,"1,842.00"
533,28-12-2021,,19026,PA,
534,28-12-2021,pnc bank,19026-3407,PA,155.99
535,28-12-2021,bank of america,19026-2905,PA,836.77
536,28-12-2021,bank of america,19026,PA,152
537,28-12-2021,citi,19050,PA,293.41
538,28-12-2021,citi,19176,PA,449.25
538,28-12-2021,citi,,,250
539,28-12-2021,pnc bank,43226,OH,20
539,28-12-2021,pnc bank,19026-3321,PA,10
540,28-12-2021,pnc bank,19026-5119,PA,227.46
541,28-12-2021,pnc bank,19026-3407,PA,0
542,28-12-2021,,19144,PA,
542,28-12-2021,,19119,PA,
543,28-12-2021,td bank,19026,PA,100
544,28-12-2021,federal credit union,19026,PA,62.33
544,28-12-2021,federal,,,201
545,28-12-2021,,19026,PA,75
546,28-12-2021,,19026,PA,295
547,28-12-2021,regions,19026,PA,4
1048,30-11-2021,bank of america,08234-7754,NJ,200
1059,4/12/2021,chase,35621,AL,621
1059,4/12/2021,chase,75254,TX,
1063,5/12/2021,citibank,11375-5736,NY,
1063,5/12/2021,citi,,,
1064,5/12/2021,,91106,CA,50.7
1064,5/12/2021,,91101,CA,
1065,5/12/2021,wells fargo,91101,CA,97.42
1066,5/12/2021,bank of america,91106,CA,
1067,5/12/2021,,91106,CA,
1068,5/12/2021,,91106,CA,200.7
1069,5/12/2021,,90086-0008,CA,250
1069,5/12/2021,,91104,CA,
1070,5/12/2021,first republic bank,90067,CA,
1070,5/12/2021,first republic bank,90210,CA,
1071,5/12/2021,bank of america,90501-3517,CA,
1072,5/12/2021,wells fargo,90278,CA,
1073,5/12/2021,east west bank,90745,CA,
1074,5/12/2021,east west bank,90745,CA,904
1075,5/12/2021,wells fargo,90746,CA,30
1083,10/12/2021,wells fargo,,,800
1090,12/12/2021,eagle bank,20895,MD,
1091,12/12/2021,wells fargo,,,4
1091,12/12/2021,wells fargo,,,"1,980.95"
1792,1/12/2021,citi,,,1
1792,1/12/2021,citi,,,0
1794,1/12/2021,citi,,,"2,000.00"
1869,8/12/2021,bank of texas,77055,TX,"5,347.51"
1869,8/12/2021,bank of texas,75046-1508,TX,
1870,8/12/2021,bank of texas,77055,TX,"3,015.99"
1870,8/12/2021,bank of texas,75312,TX,
1871,8/12/2021,bank of texas,77055,TX,530
1871,8/12/2021,bank of texas,37725,TN,
1872,8/12/2021,bank of texas,77055,TX,"12,476.33"
1872,8/12/2021,bank of texas,75267-9921,TX,
1873,8/12/2021,,77055,TX,"1,890.79"
1873,8/12/2021,,60689-0001,IL,
1874,8/12/2021,bank of texas,77055,TX,342.84
1874,8/12/2021,bank of texas,75606,TX,
1875,8/12/2021,,77055,TX,89.33
1877,8/12/2021,chase,77079-6324,TX,152.9
1878,8/12/2021,chase,78753,TX,"4,999.00"
1880,8/12/2021,,77055,TX,175.46
1880,8/12/2021,,78246-0849,TX,
1881,8/12/2021,bank of texas,77055,TX,"1,301.58"
1882,8/12/2021,,77055,TX,
1882,17-12-2021,pnc bank,43227-2063,OH,180
1882,17-12-2021,pnc bank,43211-2462,OH,55.7
1883,8/12/2021,,77055,TX,208
1883,8/12/2021,,30384-7268,GA,
1884,8/12/2021,prosperity bank,77055,TX,129.9
1884,8/12/2021,prosperity bank,77903,TX,
1892,21-12-2021,wells fargo,33317,FL,
1893,21-12-2021,wells fargo,33175,FL,10
1894,21-12-2021,wells fargo,33175-7028,FL,
1895,21-12-2021,wells fargo,33186-3969,FL,
1896,21-12-2021,wells fargo,33193,FL,50
1897,21-12-2021,wells fargo,33176-3830,FL,
1898,21-12-2021,wells fargo,33175,FL,
1899,21-12-2021,wells fargo,33196,FL,183
1900,21-12-2021,wells fargo,33134,FL,40
1902,21-12-2021,citibank,19178-0700,PA,570.51
1902,21-12-2021,citi,10003,NY,
1903,21-12-2021,citibank,19176,PA,24.15
1904,21-12-2021,wells fargo,02284-2932,MA,1.019.40
1904,21-12-2021,citibank,11385,NY,
1905,21-12-2021,citibank,19171,PA,"1,785.01"
1905,21-12-2021,citi,11003,NY,
1906,21-12-2021,citibank,19176-0242,PA,165.6
1906,21-12-2021,citi,10468,NY,
1907,21-12-2021,,95230,CA,87.7
1907,21-12-2021,,10530,NY,
1907,21-12-2021,,10583,NY,
1907,21-12-2021,,60694-5230,IL,
1908,21-12-2021,citibank,22102,VA,703.435.4800
1908,21-12-2021,citi,19178-0528,PA,"1,863.93"
1908,21-12-2021,,10013,NY,
1909,21-12-2021,citibank,10065,NY,154.5
1909,21-12-2021,citi,19176-0242,PA,
1920,22-12-2021,fifth third bank,43235,OH,0
1921,22-12-2021,fifth third bank,43235,OH,150
1922,22-12-2021,federal,43085-3360,OH,162.03
1923,22-12-2021,federal credit union,43016,OH,39.37
1923,22-12-2021,federal,43085,OH,
1924,22-12-2021,pnc bank,43221-4319,OH,32.26
1924,22-12-2021,pnc bank,,,30
1925,22-12-2021,,43215,OH,700
1925,22-12-2021,,43017,OH,
1926,22-12-2021,,43235-2818,OH,4
1927,22-12-2021,chase,43085,OH,246.89
1928,22-12-2021,chase,43017,OH,702.02
1928,22-12-2021,chase,,,4
1929,22-12-2021,,43235-7517,OH,81.7
1929,22-12-2021,,,,410
1929,22-12-2021,,,,17.2021
1929,22-12-2021,,,,106.1
1930,14-12-2021,chase,,,900
1930,22-12-2021,chase,43235-3939,OH,73.5
1931,22-12-2021,fifth third bank,43235,OH,75
1933,14-12-2021,wells fargo,,,"4,980.22"
1933,14-12-2021,wells fargo,,,"14,300.22"
1935,14-12-2021,capital one,11203,NY,298.79
1935,14-12-2021,capital one,10128-3956,NY,
1936,14-12-2021,,11214,NY,60
1936,14-12-2021,,11214-4399,NY,
1937,14-12-2021,capital one,10461,NY,474.35
1937,14-12-2021,capital one,11203,NY,
1938,14-12-2021,chase,11042,NY,300
1938,14-12-2021,chase,10017,NY,
1939,14-12-2021,investors bank,11203,NY,8.52
1939,14-12-2021,investors bank,11226,NY,375.14
1940,14-12-2021,chase,11203,NY,800.68
1940,14-12-2021,chase,6903,CT,18.18
1941,14-12-2021,chase,11203,NY,381.94
1941,14-12-2021,chase,11377,NY,
1941,14-12-2021,chase,53563,WI,
1942,14-12-2021,chase,10018,NY,363.75
1942,14-12-2021,chase,11231,NY,
1942,14-12-2021,chase,11203,NY,
1943,14-12-2021,chase,11042,NY,657.92
1943,14-12-2021,chase,,,14.93
1944,14-12-2021,signature bank,11213,NY,464.39
1944,14-12-2021,signature bank,11225,NY,10.54
1945,14-12-2021,td bank,11422,NY,306.85
1945,14-12-2021,td bank,11212,NY,
1947,14-12-2021,navy fed,80246,CO,893
1947,14-12-2021,federal credit union,22119-0000,VA,489.25
1947,14-12-2021,federal,80129,CO,125
1947,14-12-2021,cashier's check,,,
1948,14-12-2021,,30305,GA,2.422
1948,14-12-2021,,15902,PA,"2,422.84"
1948,14-12-2021,,30318,GA,
1949,14-12-2021,wells fargo,30004,GA,500
1949,14-12-2021,wells fargo,00902-3271,PR,
1949,14-12-2021,wells fargo,45891,OH,
1950,14-12-2021,umb bank,80202,CO,444
1950,14-12-2021,umb bank,85062,AZ,
1950,23-12-2021,chase,15944,PA,668.72
1950,23-12-2021,chase,12201,NY,
1950,23-12-2021,chase,19850-5944,DE,
1950,23-12-2021,chase,11214-1904,NY,
1950,23-12-2021,chase,10507-1404,NY,
1951,14-12-2021,wells fargo,,,"197,837.27"
1951,23-12-2021,,12212-5136,NY,163
1951,23-12-2021,,15136,PA,
1952,14-12-2021,federal,22119-3000,VA,105.38
1952,23-12-2021,chase,43235-3939,OH,73.9
1953,14-12-2021,wells fargo,30319,GA,1.676.70
1953,14-12-2021,us bank,,,
1953,23-12-2021,fifth third bank,43235,OH,750
1954,14-12-2021,suntrust,30168,GA,557.12
1954,14-12-2021,suntrust,30122-4441,GA,
1955,14-12-2021,,30132,GA,"1,559.78"
1955,14-12-2021,,30188,GA,
1955,23-12-2021,chase,43017,OH,72
1955,23-12-2021,chase,,,702
1956,14-12-2021,wells fargo,15108,PA,118
1956,14-12-2021,umb bank,47280,IN,
1956,14-12-2021,chase,80202,CO,
1956,14-12-2021,,80239,CO,
1957,23-12-2021,chase,10509-4332,NY,65
1957,23-12-2021,chase,10038,NY,
1958,23-12-2021,citi,03054-4809,NH,72.3
1958,23-12-2021,citi,3110,NH,
1959,23-12-2021,,8802,NJ,
1960,14-12-2021,pnc bank,19115-2912,PA,
1961,14-12-2021,citi,19115-2303,PA,
1962,14-12-2021,,19111,PA,"5,772.97"
1963,14-12-2021,,19115,PA,81
1964,14-12-2021,,19111,PA,
1965,14-12-2021,,19115,PA,250
1966,14-12-2021,td bank,19115,PA,
1971,14-12-2021,capital one,70117,LA,2
1971,14-12-2021,capital one,,,18
1972,14-12-2021,capital one,70114-5053,LA,85
1973,14-12-2021,capital one,70125,LA,
1974,14-12-2021,,70114,LA,
1975,14-12-2021,capital one,70115,LA,75
1976,14-12-2021,capital one,70121,LA,14.15
1977,14-12-2021,capital one,70126-4228,LA,42.99
1979,14-12-2021,,70131,LA,
1989,14-12-2021,capital one,70115,LA,
1990,14-12-2021,wells fargo,,,7.18
1990,14-12-2021,wells fargo,,,7.17
1990,14-12-2021,wells fargo,,,2.87
1990,14-12-2021,wells fargo,,,2.48
1990,14-12-2021,wells fargo,,,0.89
1990,14-12-2021,wells fargo,,,0.72
1990,14-12-2021,wells fargo,,,0.21
1993,14-12-2021,wells fargo,31410,GA,150
1994,14-12-2021,wells fargo,31405,GA,442
1994,14-12-2021,wells fargo,,,135
1995,14-12-2021,wells fargo,31405,GA,328.23
1996,14-12-2021,wells fargo,31410-2446,GA,2
1996,14-12-2021,wells fargo,,,0.44
1997,14-12-2021,wells fargo,31414,GA,
1998,14-12-2021,wells fargo,31404,GA,88.06
1999,14-12-2021,wells fargo,31410-2535,GA,31.75
2000,14-12-2021,wells fargo,31410,GA,701
2000,14-12-2021,wells fargo,,,170
2012,18-12-2021,td bank,13620,NY,825.29309
2012,18-12-2021,td bank,11432,NY,
2014,18-12-2021,td bank,30384-6927,GA,7.9397
2014,18-12-2021,td bank,11433,NY,"2,917.06"
2043,21-12-2021,td bank,33317,FL,"25,068.00"
2043,21-12-2021,td bank,19178-2685,PA,
2043,21-12-2021,td bank,33309,FL,
2044,21-12-2021,,33312,FL,246.24
2044,21-12-2021,,19178,PA,
2046,21-12-2021,td bank,19176-0242,PA,215.19
2046,21-12-2021,td bank,20770,MD,
2046,21-12-2021,td bank,33759,FL,
2047,21-12-2021,citibank,10029,NY,54.69
2047,21-12-2021,,48004,MI,
2047,21-12-2021,,10035,NY,
2084,28-12-2021,wells fargo,27104,NC,65.2
2084,28-12-2021,wells fargo,,,49
2085,28-12-2021,wells fargo,27104,NC,188.51
2085,28-12-2021,wells fargo,,,101
2086,28-12-2021,wells fargo,21530,MD,120.4
2086,28-12-2021,wells fargo,27106,NC,
2087,28-12-2021,,27104,NC,77.27
2087,28-12-2021,,,,74.08
2087,28-12-2021,,,,51.32
2087,28-12-2021,,,,45.59
2088,28-12-2021,,27106,NC,
2090,28-12-2021,wells fargo,27104-2510,NC,130.53
2091,28-12-2021,federal,28697,NC,200
2091,28-12-2021,citi,19176-0272,PA,"1,350.00"
2091,28-12-2021,,27104,NC,
2096,28-12-2021,,43004,OH,18.21
2350,17-12-2021,,77055,TX,"158,332.76"
2350,17-12-2021,,77267,TX,
2353,17-12-2021,chase,60585,IL,"269,800.00"
2353,17-12-2021,chase,60616,IL,222
2353,17-12-2021,chase,,,22
2353,17-12-2021,chase,,,200
2353,17-12-2021,chase,,,127
2354,17-12-2021,chase,60068-5439,IL,
2354,17-12-2021,chase,91410,CA,
2355,17-12-2021,,34205,FL,"252,486.50"
2355,17-12-2021,,34208,FL,152.23
2355,17-12-2021,,,,"123,914.20"
2355,17-12-2021,,,,"123,914"
2356,17-12-2021,chase,60563-1229,IL,
2357,17-12-2021,pnc bank,60565,IL,
2358,17-12-2021,chase,60602,IL,"100,000.00"
2358,17-12-2021,chase,,,1.000.00
2358,17-12-2021,chase,,,"1,000.00"
